2026-07-29 18:50:42.140 | INFO | FUTU_US | [FUTU_US] 行情接口连接成功（含多周期K线）
2026-07-29 18:50:42.154 | INFO | FUTU_US | [FUTU_US] 交易接口解锁提示: 请使用OpenD页面右上角解锁按钮解锁交易，GUI版本OpenD已屏蔽解锁接口
2026-07-29 18:50:42.158 | INFO | FUTU_US | [FUTU_US] 账户列表 (共 2 个):
2026-07-29 18:50:42.158 | INFO | FUTU_US |   acc_id=281756478840044880 env=REAL type=MARGIN sim_type=N/A status=ACTIVE
2026-07-29 18:50:42.159 | INFO | FUTU_US |   acc_id=20074546 env=SIMULATE type=MARGIN sim_type=STOCK_AND_OPTION status=ACTIVE
2026-07-29 18:50:42.159 | INFO | FUTU_US | [FUTU_US] ✅ 选中: 美股模拟(股票+期权) acc_id=20074546
2026-07-29 18:50:42.160 | INFO | FUTU_US | [FUTU_US] 交易接口连接成功 (最终 acc_id=20074546)
2026-07-29 18:50:42.161 | INFO | FUTU_US | [FUTU_US] 警告：main_engine 为 None，无法自注册
2026-07-29 18:50:42.164 | INFO | FUTU_HK | [FUTU_HK] 行情接口连接成功（含多周期K线）
2026-07-29 18:50:42.173 | INFO | FUTU_HK | [FUTU_HK] 交易接口解锁提示: 请使用OpenD页面右上角解锁按钮解锁交易，GUI版本OpenD已屏蔽解锁接口
2026-07-29 18:50:42.177 | INFO | FUTU_HK | [FUTU_HK] 账户列表 (共 3 个):
2026-07-29 18:50:42.178 | INFO | FUTU_HK |   acc_id=281756478840044880 env=REAL type=MARGIN sim_type=N/A status=ACTIVE
2026-07-29 18:50:42.179 | INFO | FUTU_HK |   acc_id=19110066 env=SIMULATE type=CASH sim_type=STOCK status=ACTIVE
2026-07-29 18:50:42.179 | INFO | FUTU_HK |   acc_id=19110071 env=SIMULATE type=MARGIN sim_type=OPTION status=ACTIVE
2026-07-29 18:50:42.180 | INFO | FUTU_HK | [FUTU_HK] ⚠️ 未找到融资模拟，降级使用现金模拟 acc_id=19110066
2026-07-29 18:50:42.180 | INFO | FUTU_HK | [FUTU_HK] 交易接口连接成功 (最终 acc_id=19110066)
2026-07-29 18:50:42.181 | INFO | FUTU_HK | [FUTU_HK] 警告：main_engine 为 None，无法自注册
2026-07-29 18:50:42.656 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-07-29 18:50:42.668 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-07-29 18:50:52.935 | INFO | FUTU_HK | [FUTU_HK] 合约查询完成: 21367 个
